PROBE_ID	7677153062_B.VALUE	7677153062_B.Detection Pval
ILMN_2371825	196.8225	0.009090909
ILMN_1717468	79.16005	0.4766234
ILMN_2274377	71.81929	0.8987013
ILMN_1750235	73.72881	0.8077922
ILMN_1664006	112.5958	0.07012987
ILMN_1707169	118.0666	0.06363636
ILMN_1779109	72.98005	0.8402597
ILMN_1697790	79.60297	0.4649351
ILMN_1679520	189.4747	0.009090909
ILMN_1732176	160.4462	0.02467532
ILMN_1681081	123.9807	0.05454545
ILMN_2377430	121.4474	0.05714286
ILMN_1661373	78.47522	0.5
ILMN_2288175	82.93742	0.3545454
ILMN_1654010	184.5807	0.01038961
ILMN_1732672	79.85414	0.4532467
ILMN_1730504	128.3366	0.05064935
ILMN_1662049	139.4363	0.03896104
ILMN_1740752	91.3211	0.1987013
ILMN_1794875	615.4657	0
ILMN_1698209	124.589	0.05324675
ILMN_3307841	75.90268	0.6493506
ILMN_1814151	79.09119	0.4779221
ILMN_2050246	69.11237	0.974026
ILMN_1728787	150.3978	0.03116883
ILMN_2234605	70.87002	0.9272727
ILMN_1770454	130.5531	0.04675325
ILMN_1770336	70.98739	0.925974
ILMN_1714253	97.70489	0.1428571
ILMN_1813530	144.0907	0.03636364
ILMN_2223922	162.0368	0.02467532
ILMN_1718071	923.4872	0
ILMN_1814327	79.08553	0.4779221
ILMN_2341343	80.7996	0.4181818
ILMN_1775634	72.30153	0.8766234
ILMN_1802458	230.8273	0.005194805
ILMN_2307656	228.6363	0.005194805
ILMN_1709796	97.54282	0.1441558
ILMN_1783963	77.40077	0.5597402
