PROBE_ID	7677153059_K.VALUE	7677153059_K.Detection Pval
ILMN_2356786	174.6865	0.01038961
ILMN_1759252	1554.241	0
ILMN_1678791	92.27073	0.6909091
ILMN_2336146	82.29457	0.9428571
ILMN_2286339	98.63307	0.4844156
ILMN_1694133	106.8459	0.2662338
ILMN_1678501	90.16985	0.7519481
ILMN_1787378	707.6561	0
ILMN_1814526	933.0358	0
ILMN_2311278	585.0559	0
ILMN_1764309	134.6195	0.03896104
ILMN_1811598	92.05217	0.6961039
ILMN_1740717	91.4147	0.7116883
ILMN_2136010	97.57961	0.5194805
ILMN_1797912	109.2083	0.2155844
ILMN_1738604	111.4911	0.1922078
ILMN_1691175	116.7482	0.1298701
ILMN_2223359	99.57048	0.4441558
ILMN_1702858	195.0503	0.005194805
ILMN_2363634	176.628	0.01038961
ILMN_1813975	101.785	0.3818182
ILMN_1743331	93.71281	0.6454545
ILMN_1775045	138.7221	0.03376623
ILMN_2096322	334.4917	0
ILMN_1688322	546.1339	0
ILMN_2224833	237.8829	0
ILMN_2358626	186.6626	0.007792208
ILMN_1768062	97.90889	0.5090909
ILMN_2358628	109.1031	0.2207792
ILMN_1801020	132.3891	0.04285714
ILMN_1708934	996.88	0
ILMN_1702933	192.0213	0.007792208
ILMN_1657993	244.2257	0
ILMN_1666019	178.7312	0.01038961
ILMN_2080751	176.6898	0.01038961
ILMN_1690352	168.1218	0.01038961
ILMN_2275396	114.9185	0.1454545
ILMN_2373444	108.7372	0.2272727
ILMN_1747227	169.3949	0.01038961
ILMN_1807372	224.4357	0
ILMN_1703946	114.7624	0.1506494
ILMN_1733259	116.1054	0.1350649
ILMN_1730710	214.0524	0.001298701
ILMN_1793959	407.7162	0
ILMN_1794512	120.6145	0.1038961
ILMN_1795788	87.82937	0.8194805
ILMN_1760335	117.9635	0.1220779
ILMN_1788530	130.1985	0.04935065
ILMN_1811480	225.6294	0
ILMN_1813598	108.4668	0.2324675
ILMN_1653821	101.57	0.3896104
ILMN_1780551	115.8223	0.1350649
ILMN_1669227	86.65637	0.8532467
ILMN_1709167	93.16454	0.6623377
ILMN_1679754	109.0394	0.2220779
ILMN_1716421	152.142	0.02597403
ILMN_1659371	228.1558	0
ILMN_1677868	146.4903	0.02987013
ILMN_1707445	102.2992	0.3727273
ILMN_1733963	121.0941	0.1
ILMN_1804255	94.4679	0.6194805
ILMN_1695590	509.5291	0
ILMN_1694007	109.351	0.2142857
ILMN_3307926	1875.513	0
