PROBE_ID	7677153059_F.VALUE	7677153059_F.Detection Pval
ILMN_1730504	162.0326	0.01038961
ILMN_1662049	128.4527	0.02727273
ILMN_1740752	88.39835	0.2506494
ILMN_1794875	360.4057	0
ILMN_1698209	134.1435	0.02337662
ILMN_3307841	78.03614	0.7792208
ILMN_1814151	80.23165	0.6155844
ILMN_2050246	77.61166	0.8142857
ILMN_1728787	120.0719	0.04415584
ILMN_2234605	79.06208	0.7012987
ILMN_1770454	118.4728	0.04415584
ILMN_1770336	79.23399	0.6922078
ILMN_1714253	90.30193	0.2090909
ILMN_1813530	126.4743	0.03246753
ILMN_2223922	166.9697	0.01038961
ILMN_1718071	800.3174	0
ILMN_1814327	93.62676	0.1532468
ILMN_2341343	83.33078	0.4207792
ILMN_1775634	75.03115	0.9441559
ILMN_1802458	219.1777	0
ILMN_2307656	240.9299	0
ILMN_1709796	102.3169	0.08571429
ILMN_1783963	77.06847	0.8454546
ILMN_2134801	74.91541	0.9480519
ILMN_1757807	86.49959	0.3025974
ILMN_1673529	290.3374	0
ILMN_1686370	133.2544	0.02597403
