PROBE_ID	7677153062_E.VALUE	7677153062_E.Detection Pval
ILMN_1684919	74.31438	0.5688311
ILMN_1727084	81.35144	0.3181818
ILMN_1705250	71.66622	0.7428572
ILMN_1722621	83.53781	0.2792208
ILMN_1721495	82.70347	0.2922078
ILMN_1798690	77.44167	0.438961
ILMN_1687035	121.6454	0.05064935
ILMN_1777683	95.68314	0.1324675
ILMN_1762294	105.667	0.08701298
ILMN_1793040	125.7857	0.04935065
ILMN_3247424	119.3906	0.05194805
ILMN_1763000	186.4212	0.01038961
ILMN_1776777	2501.792	0
ILMN_1706963	76.54684	0.4766234
ILMN_2320964	668.1896	0
ILMN_1697628	105.6028	0.08701298
ILMN_2319326	160.9485	0.01818182
ILMN_1657442	93.46762	0.1454545
ILMN_1679797	423.1806	0
ILMN_1749493	72.16424	0.7
ILMN_1657139	230.452	0.003896104
ILMN_3245693	80.52013	0.338961
ILMN_1806275	91.31959	0.1714286
ILMN_1659599	91.52906	0.1649351
ILMN_1698777	122.1587	0.05064935
ILMN_1663132	147.0028	0.02727273
ILMN_1700349	114.8573	0.06103896
ILMN_1761309	87.41354	0.2155844
ILMN_2120555	81.2523	0.3194805
ILMN_1742073	70.34194	0.825974
ILMN_3241894	105.8813	0.08701298
ILMN_1810691	100.4871	0.1012987
ILMN_1676893	208.6717	0.006493506
ILMN_2148944	138.8572	0.03636364
ILMN_1708588	76.0529	0.4922078
ILMN_2311674	91.05799	0.1727273
ILMN_1685156	80.04999	0.3558442
ILMN_1655935	242.9045	0.003896104
ILMN_1754440	83.78114	0.274026
ILMN_1654287	88.58563	0.2051948
ILMN_1763344	86.43173	0.2285714
ILMN_1711736	141.3353	0.03246753
ILMN_2356786	136.7428	0.03636364
ILMN_1759252	1672.117	0
ILMN_1678791	74.21079	0.5753247
ILMN_2336146	69.15381	0.8766234
ILMN_2286339	84.70056	0.2571429
ILMN_1694133	72.75408	0.6584415
ILMN_1678501	77.69428	0.4272727
ILMN_1787378	1033.305	0
ILMN_1814526	1211.211	0
ILMN_2311278	717.382	0
ILMN_1764309	133.7563	0.04285714
ILMN_1811598	71.9511	0.7103896
ILMN_1740717	75.80114	0.5103896
ILMN_2136010	77.27555	0.4441558
ILMN_1797912	75.24137	0.5441558
ILMN_1738604	91.03118	0.174026
ILMN_1691175	126.6103	0.04805195
ILMN_2223359	78.32714	0.412987
ILMN_1702858	215.2888	0.006493506
ILMN_2363634	120.4032	0.05064935
ILMN_1813975	93.27591	0.1467533
ILMN_1743331	74.028	0.5805195
ILMN_1775045	105.7695	0.08701298
ILMN_2096322	403.3692	0
ILMN_1688322	522.7845	0
ILMN_2224833	207.5336	0.006493506
ILMN_2358626	164.2287	0.01558442
ILMN_1768062	77.7011	0.4272727
ILMN_2358628	84.84597	0.2558441
ILMN_1801020	123.8519	0.04935065
ILMN_1708934	1327.328	0
ILMN_1702933	201.262	0.006493506
ILMN_1657993	231.5143	0.003896104
ILMN_1666019	193.3581	0.007792208
ILMN_2080751	167.0449	0.01428571
ILMN_1690352	140.9311	0.03246753
ILMN_2275396	87.57082	0.2155844
ILMN_2373444	105.519	0.08701298
ILMN_1747227	130.9191	0.04415584
ILMN_1807372	174.5016	0.01298701
ILMN_1703946	107.2266	0.08181818
ILMN_1733259	88.86689	0.2012987
ILMN_1730710	93.93582	0.1441558
ILMN_1793959	367.8027	0
ILMN_1794512	90.78683	0.1779221
ILMN_1795788	72.85593	0.6532468
ILMN_1760335	113.4177	0.06363636
ILMN_1788530	121.0831	0.05064935
ILMN_1811480	171.1309	0.01298701
ILMN_1813598	96.07231	0.1298701
ILMN_1653821	86.29905	0.2298701
ILMN_1780551	81.52225	0.3142857
ILMN_1669227	76.80576	0.4662338
ILMN_1709167	71.68476	0.7363636
ILMN_1679754	104.717	0.08961039
ILMN_1716421	160.3662	0.01818182
ILMN_1659371	284.7654	0
ILMN_1677868	72.09921	0.7025974
ILMN_1707445	72.96956	0.6428571
ILMN_1733963	143.8171	0.03116883
ILMN_1804255	76.5054	0.4766234
ILMN_1695590	449.7228	0
