PROBE_ID	7677153059_J.VALUE	7677153059_J.Detection Pval
ILMN_2318481	73.01086	0.5766234
ILMN_2245223	87.65708	0.1636364
ILMN_3238543	71.55196	0.6714286
ILMN_1735591	119.0212	0.04415584
ILMN_2362126	112.9514	0.04805195
ILMN_2269136	136.2178	0.03116883
ILMN_3239130	170.3721	0.009090909
ILMN_2120103	70.47124	0.738961
ILMN_3242883	367.1461	0
ILMN_2100055	70.25843	0.7545455
ILMN_1887648	69.8925	0.774026
ILMN_1688627	70.05612	0.7662337
ILMN_1672767	72.7984	0.587013
ILMN_2196642	66.90155	0.912987
ILMN_2308689	152.7702	0.01948052
ILMN_2290776	97.04152	0.08441558
ILMN_1777182	125.5147	0.03636364
ILMN_1729777	80.78115	0.2688312
ILMN_1690829	98.12887	0.08051948
ILMN_2257015	131.3564	0.03246753
ILMN_3181215	108.6441	0.05454545
ILMN_3260345	204.0738	0.005194805
ILMN_1703228	86.69353	0.174026
ILMN_1652023	96.31789	0.09090909
ILMN_2064917	307.8066	0
ILMN_1776153	90.53316	0.1272727
ILMN_1772645	176.5048	0.007792208
ILMN_1775082	76.26184	0.4038961
ILMN_1680343	97.30247	0.08441558
ILMN_2277492	73.6349	0.5558441
ILMN_2371825	294.5325	0
ILMN_1717468	73.49499	0.5649351
ILMN_2274377	66.18284	0.9376624
ILMN_1750235	72.59855	0.6064935
ILMN_1664006	131.2844	0.03246753
ILMN_1707169	119.3147	0.04415584
ILMN_1779109	66.0378	0.9415584
ILMN_1697790	75.14168	0.4766234
ILMN_1679520	185.5234	0.006493506
ILMN_1732176	128.9885	0.03376623
ILMN_1681081	127.108	0.03506494
ILMN_2377430	129.7024	0.03246753
ILMN_1661373	74.51369	0.5077922
ILMN_2288175	73.72485	0.5506493
ILMN_1654010	176.6493	0.007792208
ILMN_1732672	79.45245	0.3012987
ILMN_1730504	207.5825	0.003896104
ILMN_1662049	130.4527	0.03246753
ILMN_1740752	86.04477	0.1857143
ILMN_1794875	355.4768	0
ILMN_1698209	146.0283	0.02077922
ILMN_3307841	72.228	0.6207792
ILMN_1814151	79.41671	0.3012987
ILMN_2050246	66.84749	0.9142857
ILMN_1728787	129.3696	0.03376623
ILMN_2234605	70.49873	0.7363636
ILMN_1770454	126.2072	0.03506494
ILMN_1770336	70.39055	0.7480519
ILMN_1714253	87.46378	0.1636364
ILMN_1813530	133.8603	0.03116883
ILMN_2223922	169.5465	0.009090909
ILMN_1718071	896.6865	0
ILMN_1814327	73.09756	0.574026
ILMN_2341343	75.66779	0.4493507
ILMN_1775634	79.66074	0.2948052
ILMN_1802458	214.8267	0.003896104
ILMN_2307656	266.9172	0
ILMN_1709796	88.91673	0.1467533
ILMN_1783963	68.47417	0.8532467
ILMN_2134801	67.45257	0.9012987
ILMN_1757807	82.20892	0.2402597
