PROBE_ID	7677153062_K.VALUE	7677153062_K.Detection Pval
ILMN_1694133	101.0195	0.2909091
ILMN_1678501	96.47602	0.451948
ILMN_1787378	606.9043	0
ILMN_1814526	744.7307	0
ILMN_2311278	359.3675	0
ILMN_1764309	141.9431	0.02987013
ILMN_1811598	91.28936	0.7896104
ILMN_1740717	94.37464	0.5831169
ILMN_2136010	89.89114	0.8766234
ILMN_1797912	94.29297	0.5831169
ILMN_1738604	98.11266	0.387013
ILMN_1691175	126.5675	0.05844156
ILMN_2223359	90.32837	0.8467532
ILMN_1702858	181.1482	0.009090909
ILMN_2363634	134.2794	0.04545455
ILMN_1813975	97.94775	0.3896104
ILMN_1743331	98.53017	0.3584416
ILMN_1775045	122.428	0.06623377
ILMN_2096322	354.718	0
ILMN_1688322	470.8824	0
ILMN_2224833	237.4875	0.002597403
ILMN_2358626	154.3184	0.02467532
ILMN_1768062	97.87981	0.3935065
ILMN_2358628	104.6504	0.2103896
ILMN_1801020	104.3657	0.2142857
ILMN_1708934	604.1946	0
ILMN_1702933	179.2017	0.009090909
ILMN_1657993	186.5445	0.007792208
ILMN_1666019	145.129	0.02987013
ILMN_2080751	130.9955	0.04935065
ILMN_1690352	143.0451	0.02987013
ILMN_2275396	103.7754	0.225974
ILMN_2373444	115.6569	0.1
ILMN_1747227	139.7901	0.03506494
ILMN_1807372	180.9887	0.009090909
ILMN_1703946	116.0307	0.0961039
ILMN_1733259	104.6661	0.2103896
ILMN_1730710	117.675	0.09350649
ILMN_1793959	309.7974	0
ILMN_1794512	112.8386	0.1207792
ILMN_1795788	86.20625	0.9766234
ILMN_1760335	124.136	0.06363636
ILMN_1788530	132.2495	0.04935065
ILMN_1811480	181.1112	0.009090909
ILMN_1813598	113.1549	0.1194805
ILMN_1653821	106.6833	0.174026
ILMN_1780551	99.77817	0.3220779
ILMN_1669227	93.77261	0.6220779
ILMN_1709167	95.27604	0.5168831
ILMN_1679754	118.6884	0.08701298
ILMN_1716421	164.1574	0.01818182
ILMN_1659371	269.7346	0
ILMN_1677868	98.05783	0.387013
ILMN_1707445	95.88743	0.4883117
ILMN_1733963	141.0092	0.03246753
ILMN_1804255	96.44782	0.4545455
ILMN_1695590	433.4958	0
ILMN_1694007	98.61904	0.3519481
ILMN_3307926	2030.003	0
ILMN_1673330	111.2125	0.1298701
ILMN_1668900	118.2056	0.08831169
ILMN_2389013	162.9752	0.01818182
ILMN_1760143	375.4515	0
ILMN_1790757	282.4381	0
ILMN_2092664	277.1864	0
ILMN_1778796	164.3613	0.01818182
ILMN_1749804	127.3767	0.05844156
ILMN_1720235	104.3875	0.2142857
ILMN_2240009	96.19604	0.4727273
ILMN_1736178	111.1712	0.1311688
ILMN_1803376	157.8233	0.02207792
ILMN_3240321	121.4384	0.06883117
ILMN_1712944	1008.651	0
ILMN_2333107	387.463	0
ILMN_1707958	100.1446	0.3103896
ILMN_1660424	92.27729	0.7233766
ILMN_1701998	112.9839	0.1194805
ILMN_1651235	95.32929	0.5155844
ILMN_1694140	95.57651	0.5012987
ILMN_1730995	120.2972	0.07922078
ILMN_2404917	107.6582	0.1662338
ILMN_1702696	102.5494	0.2506494
ILMN_2084562	96.8568	0.4311688
ILMN_1769563	98.3813	0.3675325
ILMN_1673119	107.7336	0.1662338
ILMN_2129015	175.4669	0.01038961
ILMN_1725889	94.94135	0.5402597
ILMN_1775235	130.8468	0.05064935
ILMN_1677951	95.36594	0.5142857
ILMN_1708502	141.3855	0.03116883
ILMN_1705447	177.6904	0.009090909
ILMN_1699172	115.6087	0.1
ILMN_2409898	93.77383	0.6207792
ILMN_2295698	110.6785	0.1376623
ILMN_2066124	185.3288	0.007792208
ILMN_1777797	89.85467	0.8779221
ILMN_2095653	101.8863	0.2727273
ILMN_1707551	116.9932	0.09350649
ILMN_1782204	94.47779	0.5779221
ILMN_2402766	227.1837	0.002597403
ILMN_1767722	106.69	0.174026
ILMN_2342841	189.1927	0.007792208
ILMN_1802631	142.0797	0.02987013
ILMN_2318481	94.99247	0.5350649
ILMN_2245223	112.64	0.1220779
ILMN_3238543	92.33496	0.7168831
ILMN_1735591	137.2639	0.03896104
ILMN_2362126	128.6603	0.05584415
ILMN_2269136	142.8989	0.02987013
ILMN_3239130	199.3018	0.005194805
ILMN_2120103	90.19863	0.8558441
ILMN_3242883	313.6926	0
ILMN_2100055	102.7253	0.2454545
ILMN_1887648	92.99171	0.6662338
ILMN_1688627	95.71015	0.4935065
ILMN_1672767	89.26422	0.9103896
ILMN_2196642	93.29742	0.6545454
ILMN_2308689	160.5963	0.02077922
ILMN_2290776	118.0612	0.09090909
ILMN_1777182	128.1144	0.05714286
ILMN_1729777	104.8856	0.2077922
ILMN_1690829	113.6761	0.1116883
ILMN_2257015	124.7214	0.06103896
ILMN_3181215	101.1961	0.2883117
ILMN_3260345	149.469	0.02727273
ILMN_1703228	105.9697	0.1844156
ILMN_1652023	124.806	0.06103896
ILMN_2064917	203.2278	0.005194805
ILMN_1776153	110.7001	0.1376623
ILMN_1772645	176.1118	0.009090909
ILMN_1775082	98.26266	0.3727273
ILMN_1680343	119.1898	0.08571429
ILMN_2277492	101.5652	0.2779221
ILMN_2371825	181.3398	0.009090909
ILMN_1717468	96.56575	0.4428571
ILMN_2274377	93.13999	0.6636364
ILMN_1750235	95.32224	0.5168831
ILMN_1664006	132.5958	0.04935065
ILMN_1707169	113.8631	0.1103896
ILMN_1779109	87.48518	0.9558442
ILMN_1697790	98.95265	0.3428572
ILMN_1679520	194.5714	0.005194805
ILMN_1732176	128.3605	0.05584415
ILMN_1681081	148.3824	0.02727273
ILMN_2377430	123.4025	0.06363636
ILMN_1661373	105.9047	0.1844156
ILMN_2288175	94.68532	0.5597402
ILMN_1654010	185.8461	0.007792208
ILMN_1732672	107.7484	0.1662338
ILMN_1730504	172.7247	0.01168831
ILMN_1662049	146.7861	0.02727273
ILMN_1740752	104.2356	0.2168831
ILMN_1794875	309.9895	0
ILMN_1698209	134.0485	0.04675325
ILMN_3307841	93.43298	0.648052
ILMN_1814151	92.07201	0.7415584
ILMN_2050246	94.36033	0.5831169
ILMN_1728787	152.0663	0.02597403
ILMN_2234605	91.90507	0.7506493
ILMN_1770454	139.2142	0.03636364
ILMN_1770336	93.49223	0.638961
ILMN_1714253	108.45	0.161039
ILMN_1813530	135.4823	0.04285714
ILMN_2223922	169.1097	0.01688312
ILMN_1718071	581.2827	0
ILMN_1814327	96.1729	0.4727273
ILMN_2341343	96.07761	0.4805195
ILMN_1775634	88.63749	0.9298701
ILMN_1802458	214.0181	0.003896104
ILMN_2307656	237.5384	0.002597403
ILMN_1709796	106.1994	0.1818182
ILMN_1783963	92.64968	0.6974026
ILMN_2134801	89.77123	0.8857143
