PROBE_ID	7677153059_C.VALUE	7677153059_C.Detection Pval
ILMN_1654010	175.6648	0.009090909
ILMN_1732672	84.03679	0.5831169
ILMN_1730504	142.8697	0.03116883
ILMN_1662049	132.879	0.04025974
ILMN_1740752	99.29614	0.1272727
ILMN_1794875	441.8269	0
ILMN_1698209	126.1728	0.04675325
ILMN_3307841	79.33284	0.8779221
ILMN_1814151	87.05051	0.4051948
ILMN_2050246	79.95715	0.8441558
ILMN_1728787	138.4597	0.03506494
ILMN_2234605	79.65161	0.8636364
ILMN_1770454	129.3511	0.04415584
ILMN_1770336	82.37437	0.6987013
ILMN_1714253	93.94189	0.1987013
ILMN_1813530	147.5447	0.02857143
ILMN_2223922	179.0442	0.009090909
ILMN_1718071	724.0562	0
ILMN_1814327	84.81216	0.5194805
ILMN_2341343	84.58598	0.5337662
ILMN_1775634	84.65868	0.5285714
ILMN_1802458	221.5618	0.003896104
ILMN_2307656	222.0912	0.003896104
ILMN_1709796	99.31554	0.1272727
ILMN_1783963	83.78974	0.5935065
