PROBE_ID	7677153059_E.VALUE	7677153059_E.Detection Pval
ILMN_1706992	159.1031	0.01948052
ILMN_1684919	83.98374	0.7857143
ILMN_1727084	87.79246	0.5285714
ILMN_1705250	84.17239	0.7714286
ILMN_1722621	87.69346	0.5311688
ILMN_1721495	97.24828	0.2220779
ILMN_1798690	92.34785	0.3415585
ILMN_1687035	132.0455	0.04415584
ILMN_1777683	106.4362	0.1142857
ILMN_1762294	120.8077	0.05844156
ILMN_1793040	125.9215	0.05194805
ILMN_3247424	179.0036	0.009090909
ILMN_1763000	237.996	0.003896104
ILMN_1776777	2156.638	0
ILMN_1706963	88.34793	0.4987013
ILMN_2320964	811.2512	0
ILMN_1697628	109.5932	0.1038961
ILMN_2319326	149.9281	0.02337662
ILMN_1657442	108.5496	0.1064935
ILMN_1679797	277.0356	0
ILMN_1749493	87.99889	0.5168831
ILMN_1657139	194.8053	0.007792208
ILMN_3245693	89.48727	0.438961
ILMN_1806275	106.9561	0.112987
ILMN_1659599	102.6118	0.1532468
ILMN_1698777	120.7084	0.05844156
ILMN_1663132	130.4678	0.04415584
ILMN_1700349	124.9204	0.05324675
ILMN_1761309	102.0522	0.1636364
ILMN_2120555	96.27616	0.2350649
ILMN_1742073	83.02731	0.8467532
ILMN_3241894	112.8951	0.08831169
ILMN_1810691	111.8957	0.09740259
ILMN_1676893	164.513	0.01688312
ILMN_2148944	164.1475	0.01688312
ILMN_1708588	91.32017	0.3727273
ILMN_2311674	96.95919	0.2246753
ILMN_1685156	101.6778	0.1675325
ILMN_1655935	264.8047	0.001298701
ILMN_1754440	90.10635	0.4194805
ILMN_1654287	100.6954	0.1805195
ILMN_1763344	93.93118	0.2948052
ILMN_1711736	146.679	0.03376623
ILMN_2356786	172.2819	0.01428571
ILMN_1759252	1589.422	0
ILMN_1678791	90.77825	0.3857143
ILMN_2336146	82.72485	0.864935
ILMN_2286339	102.4103	0.1558442
ILMN_1694133	86.79639	0.5974026
ILMN_1678501	92.41312	0.338961
ILMN_1787378	464.0537	0
ILMN_1814526	700.0923	0
ILMN_2311278	373.3091	0
ILMN_1764309	137.8088	0.04025974
ILMN_1811598	80.85362	0.9363636
ILMN_1740717	79.36124	0.9766234
ILMN_2136010	90.28895	0.4142857
ILMN_1797912	85.16294	0.7012987
ILMN_1738604	91.37547	0.3714286
ILMN_1691175	130.1171	0.04415584
ILMN_2223359	85.75046	0.6610389
ILMN_1702858	169.6655	0.01558442
ILMN_2363634	116.1335	0.07922078
ILMN_1813975	89.93153	0.4233766
ILMN_1743331	85.77018	0.6597403
ILMN_1775045	108.1524	0.1090909
ILMN_2096322	521.1018	0
ILMN_1688322	849.8286	0
ILMN_2224833	210.5049	0.006493506
ILMN_2358626	130.5164	0.04415584
ILMN_1768062	89.74924	0.4311688
ILMN_2358628	90.43837	0.4064935
ILMN_1801020	97.1431	0.2233766
ILMN_1708934	3322.941	0
ILMN_1702933	181.1394	0.009090909
ILMN_1657993	181.8896	0.009090909
ILMN_1666019	164.8408	0.01688312
ILMN_2080751	143.3748	0.03376623
ILMN_1690352	133.8321	0.04155844
ILMN_2275396	95.71217	0.2506494
ILMN_2373444	105.7294	0.1181818
ILMN_1747227	136.6802	0.04155844
ILMN_1807372	237.3952	0.003896104
ILMN_1703946	108.8461	0.1051948
ILMN_1733259	106.5893	0.112987
ILMN_1730710	105.926	0.1168831
ILMN_1793959	359.6644	0
ILMN_1794512	105.8185	0.1181818
ILMN_1795788	82.38647	0.8792208
ILMN_1760335	120.5574	0.05844156
ILMN_1788530	127.9008	0.04935065
ILMN_1811480	158.8646	0.01948052
ILMN_1813598	103.1779	0.1467533
ILMN_1653821	95.67616	0.2519481
ILMN_1780551	98.41949	0.2064935
ILMN_1669227	80.26056	0.9545454
ILMN_1709167	85.24432	0.6948052
ILMN_1679754	110.8465	0.1025974
ILMN_1716421	156.1788	0.02077922
ILMN_1659371	262.5299	0.003896104
ILMN_1677868	87.19765	0.5688311
ILMN_1707445	84.90528	0.7168831
ILMN_1733963	151.0215	0.02337662
ILMN_1804255	87.93088	0.5194805
ILMN_1695590	410.5531	0
ILMN_1694007	85.09765	0.7051948
ILMN_3307926	2074.523	0
ILMN_1673330	107.8833	0.1090909
ILMN_1668900	110.0094	0.1038961
ILMN_2389013	149.6772	0.02337662
ILMN_1760143	381.6309	0
ILMN_1790757	250.4797	0.003896104
ILMN_2092664	282.6139	0
ILMN_1778796	175.8238	0.01038961
ILMN_1749804	121.7828	0.05714286
ILMN_1720235	92.42625	0.338961
ILMN_2240009	82.62576	0.8701299
ILMN_1736178	89.26752	0.4584416
ILMN_1803376	152.6369	0.02207792
ILMN_3240321	113.4558	0.08831169
ILMN_1712944	782.8873	0
ILMN_2333107	305.6544	0
ILMN_1707958	99.79652	0.1844156
ILMN_1660424	85.77078	0.6597403
ILMN_1701998	103.0825	0.1493506
ILMN_1651235	91.58635	0.3701299
ILMN_1694140	91.24192	0.3766234
ILMN_1730995	102.9485	0.1506494
ILMN_2404917	95.49921	0.2571429
ILMN_1702696	95.43904	0.2571429
ILMN_2084562	83.86774	0.7987013
ILMN_1769563	91.72923	0.3623376
ILMN_1673119	109.4944	0.1038961
ILMN_2129015	211.9135	0.006493506
ILMN_1725889	88.69549	0.4818182
ILMN_1775235	95.43357	0.2571429
ILMN_1677951	78.50416	0.987013
ILMN_1708502	156.2221	0.02077922
ILMN_1705447	143.2213	0.03376623
ILMN_1699172	110.5464	0.1025974
ILMN_2409898	77.90637	0.9948052
ILMN_2295698	92.39394	0.338961
ILMN_2066124	157.5504	0.01948052
ILMN_1777797	86.1056	0.638961
ILMN_2095653	95.29082	0.2584416
ILMN_1707551	102.1228	0.1623377
ILMN_1782204	86.26839	0.625974
ILMN_2402766	297.846	0
ILMN_1767722	116.4101	0.07922078
ILMN_2342841	186.5746	0.009090909
ILMN_1802631	109.5942	0.1038961
ILMN_2318481	87.88673	0.5207792
ILMN_2245223	97.12016	0.2233766
ILMN_3238543	84.86213	0.7220779
ILMN_1735591	133.8852	0.04155844
ILMN_2362126	123.4189	0.05714286
ILMN_2269136	131.8728	0.04415584
ILMN_3239130	197.2794	0.007792208
ILMN_2120103	85.529	0.6753247
ILMN_3242883	288.9896	0
ILMN_2100055	88.10653	0.5168831
ILMN_1887648	88.73035	0.4818182
ILMN_1688627	91.26794	0.3753247
ILMN_1672767	84.17316	0.7714286
ILMN_2196642	88.08454	0.5168831
ILMN_2308689	157.2589	0.01948052
ILMN_2290776	106.1063	0.1155844
ILMN_1777182	126.9846	0.05064935
ILMN_1729777	94.0611	0.2909091
ILMN_1690829	110.6526	0.1025974
ILMN_2257015	142.6668	0.03506494
ILMN_3181215	152.6397	0.02077922
ILMN_3260345	201.1633	0.006493506
ILMN_1703228	95.51067	0.2571429
ILMN_1652023	111.2649	0.0987013
ILMN_2064917	168.3996	0.01558442
ILMN_1776153	96.75031	0.2272727
ILMN_1772645	155.0429	0.02077922
ILMN_1775082	85.61349	0.6714286
ILMN_1680343	109.7304	0.1038961
ILMN_2277492	97.32863	0.2220779
ILMN_2371825	140.6377	0.03636364
ILMN_1717468	95.63954	0.2532468
ILMN_2274377	88.84253	0.474026
ILMN_1750235	83.55209	0.8168831
ILMN_1664006	101.6225	0.1675325
ILMN_1707169	109.9224	0.1038961
ILMN_1779109	81.47276	0.912987
ILMN_1697790	84.8768	0.7207792
ILMN_1679520	193.9213	0.007792208
ILMN_1732176	157.44	0.01948052
ILMN_1681081	159.5796	0.01818182
ILMN_2377430	201.8554	0.006493506
ILMN_1661373	96.35023	0.2311688
ILMN_2288175	89.12473	0.4623377
ILMN_1654010	190.0144	0.009090909
ILMN_1732672	89.33035	0.4506494
ILMN_1730504	171.3713	0.01428571
ILMN_1662049	130.8291	0.04415584
ILMN_1740752	99.98697	0.1818182
ILMN_1794875	491.3329	0
ILMN_1698209	127.6161	0.04935065
ILMN_3307841	79.88518	0.9662338
ILMN_1814151	86.46134	0.6168831
ILMN_2050246	83.2114	0.8324676
ILMN_1728787	151.3158	0.02337662
ILMN_2234605	79.09666	0.9792208
ILMN_1770454	130.22	0.04415584
ILMN_1770336	88.4167	0.4974026
